n,tipo,tiempo_s,comparaciones,intercambios,pila_maxima
1000,aleatorio,0.0020322999989730306,10250,5546,12
5000,aleatorio,0.012900199999421602,72914,32303,14
10000,aleatorio,0.02750229999946896,157213,62812,15
50000,aleatorio,0.16996819999985746,934560,440023,22
100000,aleatorio,0.3522013000001607,1944625,856707,19
200000,aleatorio,0.7993077000028279,4306806,2110434,24
500,ordenado,0.014220199998817407,124750,499,1
1000,ordenado,0.06097040000167908,499500,999,1
2000,ordenado,0.24914200000057463,1999000,1999,1
4000,ordenado,1.100560000002588,7998000,3999,1
8000,ordenado,4.258978199999547,31996000,7999,1
